Fecha,Tipo,Categoría,Descripción,Valor
08/08/2026,INCOME,Impresiones,Impresiones - 08/08/2026,600.00,-4234000.00
10/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 10/08/2026,6000.00,-4234000.00
10/08/2026,INCOME,Fotocopias,Fotocopias - 10/08/2026,1600.00,-4232400.00
10/08/2026,INCOME,Impresiones,Impresiones - 10/08/2026,4200.00,-4228200.00
10/08/2026,INCOME,Escaneo,Scaner - 10/08/2026,1200.00,-4227000.00
10/08/2026,INCOME,Papelería,Papeleria - 10/08/2026,1500.00,-4225500.00
10/08/2026,INCOME,Accesorios,Accesorios - 10/08/2026,20000.00,-4205500.00
10/08/2026,INCOME,Internet,Internet - 10/08/2026,3000.00,-4202500.00
10/08/2026,EXPENSE,Ahorro para pagar,Ahorro pagar - 10/08/2026,20000.00,-4222500.00
10/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 10/08/2026,10000.00,-4222500.00
10/08/2026,INCOME,Fotocopias,Fotocopias - 10/08/2026,1200.00,-4221300.00
10/08/2026,INCOME,Impresiones,Impresiones - 10/08/2026,3600.00,-4217700.00
10/08/2026,INCOME,Escaneo,Scaner - 10/08/2026,1000.00,-4216700.00
10/08/2026,INCOME,Papelería,Papeleria - 10/08/2026,1200.00,-4215500.00
10/08/2026,INCOME,Accesorios,Accesorios - 10/08/2026,10000.00,-4205500.00
10/08/2026,INCOME,Internet,Internet - 10/08/2026,2000.00,-4203500.00
10/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 10/08/2026,10000.00,-4203500.00
10/08/2026,INCOME,Fotocopias,Fotocopias - 10/08/2026,2000.00,-4201500.00
10/08/2026,INCOME,Impresiones,Impresiones - 10/08/2026,2000.00,-4199500.00
10/08/2026,INCOME,Papelería,Papeleria - 10/08/2026,1800.00,-4197700.00
10/08/2026,INCOME,Accesorios,Accesorios - 10/08/2026,10000.00,-4187700.00
10/08/2026,INCOME,Internet,Internet - 10/08/2026,2000.00,-4185700.00
10/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 10/08/2026,25000.00,-4185700.00
10/08/2026,INCOME,Fotocopias,Fotocopias - 10/08/2026,1000.00,-4184700.00
10/08/2026,INCOME,Impresiones,Impresiones - 10/08/2026,4200.00,-4180500.00
10/08/2026,INCOME,Papelería,Papeleria - 10/08/2026,2500.00,-4178000.00
10/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 10/08/2026,20000.00,-4178000.00
10/08/2026,INCOME,Fotocopias,Fotocopias - 10/08/2026,1600.00,-4176400.00
10/08/2026,INCOME,Impresiones,Impresiones - 10/08/2026,1500.00,-4174900.00
10/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 10/08/2026,9000.00,-4174900.00
10/08/2026,INCOME,Fotocopias,Fotocopias - 10/08/2026,1400.00,-4173500.00
10/08/2026,INCOME,Impresiones,Impresiones - 10/08/2026,6000.00,-4167500.00
10/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 10/08/2026,10000.00,-4167500.00
10/08/2026,INCOME,Fotocopias,Fotocopias - 10/08/2026,1600.00,-4165900.00
10/08/2026,INCOME,Impresiones,Impresiones - 10/08/2026,2400.00,-4163500.00
10/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 10/08/2026,8500.00,-4163500.00
10/08/2026,INCOME,Fotocopias,Fotocopias - 10/08/2026,1800.00,-4161700.00
10/08/2026,INCOME,Impresiones,Impresiones - 10/08/2026,8400.00,-4153300.00
10/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 10/08/2026,20000.00,-4153300.00
10/08/2026,INCOME,Fotocopias,Fotocopias - 10/08/2026,1000.00,-4152300.00
10/08/2026,INCOME,Impresiones,Impresiones - 10/08/2026,2100.00,-4150200.00
10/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 10/08/2026,2000.00,-4150200.00
10/08/2026,INCOME,Fotocopias,Fotocopias - 10/08/2026,1800.00,-4148400.00
10/08/2026,INCOME,Impresiones,Impresiones - 10/08/2026,5000.00,-4143400.00
10/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 10/08/2026,10000.00,-4143400.00
10/08/2026,INCOME,Fotocopias,Fotocopias - 10/08/2026,1200.00,-4142200.00
10/08/2026,INCOME,Impresiones,Impresiones - 10/08/2026,9000.00,-4133200.00
10/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 10/08/2026,6000.00,-4133200.00
10/08/2026,INCOME,Impresiones,Impresiones - 10/08/2026,1600.00,-4131600.00
10/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 10/08/2026,10000.00,-4131600.00
10/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 10/08/2026,15000.00,-4131600.00
11/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 11/08/2026,28700.00,-4131600.00
11/08/2026,INCOME,Fotocopias,Fotocopias - 11/08/2026,1000.00,-4130600.00
11/08/2026,INCOME,Impresiones,Impresiones - 11/08/2026,1200.00,-4129400.00
11/08/2026,INCOME,Escaneo,Scaner - 11/08/2026,9000.00,-4120400.00
11/08/2026,INCOME,Papelería,Papeleria - 11/08/2026,1700.00,-4118700.00
11/08/2026,INCOME,Accesorios,Accesorios - 11/08/2026,70000.00,-4048700.00
11/08/2026,INCOME,Internet,Internet - 11/08/2026,1000.00,-4047700.00
11/08/2026,EXPENSE,Ahorro para pagar,Ahorro pagar - 11/08/2026,80000.00,-4127700.00
11/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 11/08/2026,35000.00,-4127700.00
11/08/2026,INCOME,Fotocopias,Fotocopias - 11/08/2026,1500.00,-4126200.00
11/08/2026,INCOME,Impresiones,Impresiones - 11/08/2026,1200.00,-4125000.00
11/08/2026,INCOME,Papelería,Papeleria - 11/08/2026,1300.00,-4123700.00
11/08/2026,INCOME,Internet,Internet - 11/08/2026,1500.00,-4122200.00
11/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 11/08/2026,35000.00,-4122200.00
11/08/2026,INCOME,Fotocopias,Fotocopias - 11/08/2026,1800.00,-4120400.00
11/08/2026,INCOME,Impresiones,Impresiones - 11/08/2026,2400.00,-4118000.00
11/08/2026,INCOME,Papelería,Papeleria - 11/08/2026,1600.00,-4116400.00
11/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 11/08/2026,28700.00,-4116400.00
11/08/2026,INCOME,Fotocopias,Fotocopias - 11/08/2026,3000.00,-4113400.00
11/08/2026,INCOME,Impresiones,Impresiones - 11/08/2026,1200.00,-4112200.00
11/08/2026,INCOME,Papelería,Papeleria - 11/08/2026,2400.00,-4109800.00
11/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 11/08/2026,20000.00,-4109800.00
11/08/2026,INCOME,Fotocopias,Fotocopias - 11/08/2026,7200.00,-4102600.00
11/08/2026,INCOME,Impresiones,Impresiones - 11/08/2026,1200.00,-4101400.00
11/08/2026,INCOME,Papelería,Papeleria - 11/08/2026,1000.00,-4100400.00
11/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 11/08/2026,20000.00,-4100400.00
11/08/2026,INCOME,Fotocopias,Fotocopias - 11/08/2026,1200.00,-4099200.00
11/08/2026,INCOME,Impresiones,Impresiones - 11/08/2026,3300.00,-4095900.00
11/08/2026,INCOME,Papelería,Papeleria - 11/08/2026,1600.00,-4094300.00
11/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 11/08/2026,20000.00,-4094300.00
11/08/2026,INCOME,Fotocopias,Fotocopias - 11/08/2026,2400.00,-4091900.00
11/08/2026,INCOME,Impresiones,Impresiones - 11/08/2026,3300.00,-4088600.00
11/08/2026,INCOME,Papelería,Papeleria - 11/08/2026,1500.00,-4087100.00
11/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 11/08/2026,9000.00,-4087100.00
11/08/2026,INCOME,Fotocopias,Fotocopias - 11/08/2026,6000.00,-4081100.00
11/08/2026,INCOME,Impresiones,Impresiones - 11/08/2026,5400.00,-4075700.00
11/08/2026,INCOME,Papelería,Papeleria - 11/08/2026,4000.00,-4071700.00
11/08/2026,INCOME,Fotocopias,Fotocopias - 11/08/2026,2000.00,-4069700.00
11/08/2026,INCOME,Impresiones,Impresiones - 11/08/2026,1800.00,-4067900.00
11/08/2026,INCOME,Papelería,Papeleria - 11/08/2026,2500.00,-4065400.00
11/08/2026,INCOME,Fotocopias,Fotocopias - 11/08/2026,1900.00,-4063500.00
11/08/2026,INCOME,Impresiones,Impresiones - 11/08/2026,20000.00,-4043500.00
11/08/2026,INCOME,Papelería,Papeleria - 11/08/2026,4000.00,-4039500.00
11/08/2026,INCOME,Fotocopias,Fotocopias - 11/08/2026,6000.00,-4033500.00
11/08/2026,INCOME,Impresiones,Impresiones - 11/08/2026,5000.00,-4028500.00
11/08/2026,INCOME,Papelería,Papeleria - 11/08/2026,1400.00,-4027100.00
11/08/2026,INCOME,Impresiones,Impresiones - 11/08/2026,6000.00,-4021100.00
12/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 12/08/2026,5500.00,-4021100.00
12/08/2026,INCOME,Fotocopias,Fotocopias - 12/08/2026,1200.00,-4019900.00
12/08/2026,INCOME,Impresiones,Impresiones - 12/08/2026,1200.00,-4018700.00
12/08/2026,INCOME,Escaneo,Scaner - 12/08/2026,500.00,-4018200.00
12/08/2026,INCOME,Papelería,Papeleria - 12/08/2026,2000.00,-4016200.00
12/08/2026,INCOME,Internet,Internet - 12/08/2026,1500.00,-4014700.00
12/08/2026,EXPENSE,Ahorro para pagar,Ahorro pagar - 12/08/2026,100000.00,-4114700.00
12/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 12/08/2026,35000.00,-4114700.00
12/08/2026,INCOME,Fotocopias,Fotocopias - 12/08/2026,8600.00,-4106100.00
12/08/2026,INCOME,Impresiones,Impresiones - 12/08/2026,1800.00,-4104300.00
12/08/2026,INCOME,Internet,Internet - 12/08/2026,1500.00,-4102800.00
12/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 12/08/2026,3000.00,-4102800.00
12/08/2026,INCOME,Fotocopias,Fotocopias - 12/08/2026,7200.00,-4095600.00
12/08/2026,INCOME,Impresiones,Impresiones - 12/08/2026,1100.00,-4094500.00
12/08/2026,INCOME,Internet,Internet - 12/08/2026,1500.00,-4093000.00
12/08/2026,INCOME,Fotocopias,Fotocopias - 12/08/2026,5400.00,-4087600.00
12/08/2026,INCOME,Impresiones,Impresiones - 12/08/2026,3600.00,-4084000.00
12/08/2026,INCOME,Fotocopias,Fotocopias - 12/08/2026,2400.00,-4081600.00
12/08/2026,INCOME,Impresiones,Impresiones - 12/08/2026,1800.00,-4079800.00
12/08/2026,INCOME,Fotocopias,Fotocopias - 12/08/2026,1200.00,-4078600.00
12/08/2026,INCOME,Impresiones,Impresiones - 12/08/2026,2000.00,-4076600.00
12/08/2026,INCOME,Impresiones,Impresiones - 12/08/2026,2000.00,-4074600.00
12/08/2026,INCOME,Impresiones,Impresiones - 12/08/2026,3000.00,-4071600.00
12/08/2026,INCOME,Impresiones,Impresiones - 12/08/2026,4000.00,-4067600.00
12/08/2026,INCOME,Impresiones,Impresiones - 12/08/2026,8000.00,-4059600.00
13/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 13/08/2026,10000.00,-4059600.00
13/08/2026,INCOME,Fotocopias,Fotocopias - 13/08/2026,1200.00,-4058400.00
13/08/2026,INCOME,Impresiones,Impresiones - 13/08/2026,3600.00,-4054800.00
13/08/2026,INCOME,Escaneo,Scaner - 13/08/2026,1800.00,-4053000.00
13/08/2026,INCOME,Papelería,Papeleria - 13/08/2026,3000.00,-4050000.00
13/08/2026,INCOME,Accesorios,Accesorios - 13/08/2026,6000.00,-4044000.00
13/08/2026,INCOME,Internet,Internet - 13/08/2026,3000.00,-4041000.00
13/08/2026,EXPENSE,Ahorro para pagar,Ahorro pagar - 13/08/2026,40000.00,-4081000.00
13/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 13/08/2026,4000.00,-4081000.00
13/08/2026,INCOME,Fotocopias,Fotocopias - 13/08/2026,1800.00,-4079200.00
13/08/2026,INCOME,Impresiones,Impresiones - 13/08/2026,1100.00,-4078100.00
13/08/2026,INCOME,Papelería,Papeleria - 13/08/2026,3000.00,-4075100.00
13/08/2026,INCOME,Internet,Internet - 13/08/2026,11000.00,-4064100.00
13/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 13/08/2026,10000.00,-4064100.00
13/08/2026,INCOME,Fotocopias,Fotocopias - 13/08/2026,1000.00,-4063100.00
13/08/2026,INCOME,Impresiones,Impresiones - 13/08/2026,3600.00,-4059500.00
13/08/2026,INCOME,Papelería,Papeleria - 13/08/2026,1500.00,-4058000.00
13/08/2026,INCOME,Internet,Internet - 13/08/2026,500.00,-4057500.00
13/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 13/08/2026,20000.00,-4057500.00
13/08/2026,INCOME,Fotocopias,Fotocopias - 13/08/2026,1400.00,-4056100.00
13/08/2026,INCOME,Impresiones,Impresiones - 13/08/2026,4800.00,-4051300.00
13/08/2026,INCOME,Fotocopias,Fotocopias - 13/08/2026,1000.00,-4050300.00
13/08/2026,INCOME,Impresiones,Impresiones - 13/08/2026,1200.00,-4049100.00
13/08/2026,INCOME,Impresiones,Impresiones - 13/08/2026,1200.00,-4047900.00
13/08/2026,INCOME,Impresiones,Impresiones - 13/08/2026,3000.00,-4044900.00
13/08/2026,INCOME,Impresiones,Impresiones - 13/08/2026,6000.00,-4038900.00
13/08/2026,INCOME,Impresiones,Impresiones - 13/08/2026,63000.00,-3975900.00
13/08/2026,INCOME,Impresiones,Impresiones - 13/08/2026,6300.00,-3969600.00
13/08/2026,INCOME,Impresiones,Impresiones - 13/08/2026,2800.00,-3966800.00
14/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 14/08/2026,5500.00,-3966800.00
14/08/2026,INCOME,Fotocopias,Fotocopias - 14/08/2026,50000.00,-3916800.00
14/08/2026,INCOME,Impresiones,Impresiones - 14/08/2026,2400.00,-3914400.00
14/08/2026,INCOME,Papelería,Papeleria - 14/08/2026,1600.00,-3912800.00
14/08/2026,INCOME,Accesorios,Accesorios - 14/08/2026,76000.00,-3836800.00
14/08/2026,EXPENSE,Ahorro para pagar,Ahorro pagar - 14/08/2026,120000.00,-3956800.00
14/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 14/08/2026,6000.00,-3956800.00
14/08/2026,INCOME,Fotocopias,Fotocopias - 14/08/2026,1500.00,-3955300.00
14/08/2026,INCOME,Impresiones,Impresiones - 14/08/2026,3000.00,-3952300.00
14/08/2026,INCOME,Papelería,Papeleria - 14/08/2026,1200.00,-3951100.00
14/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 14/08/2026,5500.00,-3951100.00
14/08/2026,INCOME,Fotocopias,Fotocopias - 14/08/2026,1600.00,-3949500.00
14/08/2026,INCOME,Impresiones,Impresiones - 14/08/2026,1600.00,-3947900.00
14/08/2026,INCOME,Papelería,Papeleria - 14/08/2026,1500.00,-3946400.00
14/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 14/08/2026,9000.00,-3946400.00
14/08/2026,INCOME,Fotocopias,Fotocopias - 14/08/2026,1900.00,-3944500.00
14/08/2026,INCOME,Impresiones,Impresiones - 14/08/2026,1200.00,-3943300.00
14/08/2026,INCOME,Papelería,Papeleria - 14/08/2026,3000.00,-3940300.00
14/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 14/08/2026,2000.00,-3940300.00
14/08/2026,INCOME,Impresiones,Impresiones - 14/08/2026,1800.00,-3938500.00
14/08/2026,INCOME,Impresiones,Impresiones - 14/08/2026,1200.00,-3937300.00
14/08/2026,INCOME,Impresiones,Impresiones - 14/08/2026,3000.00,-3934300.00
14/08/2026,INCOME,Impresiones,Impresiones - 14/08/2026,2400.00,-3931900.00
14/08/2026,INCOME,Impresiones,Impresiones - 14/08/2026,7200.00,-3924700.00
14/08/2026,INCOME,Impresiones,Impresiones - 14/08/2026,6000.00,-3918700.00
14/08/2026,INCOME,Impresiones,Impresiones - 14/08/2026,6600.00,-3912100.00
15/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 15/08/2026,10000.00,-3912100.00
15/08/2026,INCOME,Fotocopias,Fotocopias - 15/08/2026,4000.00,-3908100.00
15/08/2026,INCOME,Impresiones,Impresiones - 15/08/2026,12000.00,-3896100.00
15/08/2026,INCOME,Papelería,Papeleria - 15/08/2026,8000.00,-3888100.00
15/08/2026,INCOME,Internet,Internet - 15/08/2026,1000.00,-3887100.00
15/08/2026,EXPENSE,Ahorro para pagar,Ahorro pagar - 15/08/2026,100000.00,-3987100.00
15/08/2026,EXPENSE,Salidas,8000,8000.00,-3995100.00
15/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 15/08/2026,5000.00,-3995100.00
15/08/2026,INCOME,Fotocopias,Fotocopias - 15/08/2026,4000.00,-3991100.00
15/08/2026,INCOME,Impresiones,Impresiones - 15/08/2026,5000.00,-3986100.00
15/08/2026,INCOME,Papelería,Papeleria - 15/08/2026,2500.00,-3983600.00
15/08/2026,INCOME,Internet,Internet - 15/08/2026,1600.00,-3982000.00
15/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 15/08/2026,5500.00,-3982000.00
15/08/2026,INCOME,Fotocopias,Fotocopias - 15/08/2026,1000.00,-3981000.00
15/08/2026,INCOME,Impresiones,Impresiones - 15/08/2026,5000.00,-3976000.00
15/08/2026,INCOME,Papelería,Papeleria - 15/08/2026,1600.00,-3974400.00
15/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 15/08/2026,35000.00,-3974400.00
15/08/2026,INCOME,Impresiones,Impresiones - 15/08/2026,1200.00,-3973200.00
15/08/2026,INCOME,Papelería,Papeleria - 15/08/2026,1300.00,-3971900.00
15/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 15/08/2026,30000.00,-3971900.00
15/08/2026,INCOME,Impresiones,Impresiones - 15/08/2026,3000.00,-3968900.00
15/08/2026,INCOME,Papelería,Papeleria - 15/08/2026,4000.00,-3964900.00
15/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 15/08/2026,6000.00,-3964900.00
15/08/2026,INCOME,Papelería,Papeleria - 15/08/2026,4000.00,-3960900.00
15/08/2026,INCOME,Papelería,Papeleria - 15/08/2026,4000.00,-3956900.00
17/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 17/08/2026,20000.00,-3956900.00
17/08/2026,INCOME,Impresiones,Impresiones - 17/08/2026,9000.00,-3947900.00
17/08/2026,INCOME,Papelería,Papeleria - 17/08/2026,9500.00,-3938400.00
17/08/2026,EXPENSE,Ahorro para pagar,Ahorro pagar - 17/08/2026,1000000.00,-4938400.00
17/08/2026,EXPENSE,Pendientes,Pendientes - 17/08/2026,20000.00,-4958400.00
17/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 17/08/2026,20000.00,-4958400.00
17/08/2026,INCOME,Impresiones,Impresiones - 17/08/2026,9600.00,-4948800.00
17/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 17/08/2026,9000.00,-4948800.00
17/08/2026,INCOME,Impresiones,Impresiones - 17/08/2026,600.00,-4948200.00
17/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 17/08/2026,20000.00,-4948200.00
17/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 17/08/2026,25000.00,-4948200.00
17/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 17/08/2026,20000.00,-4948200.00
18/08/2026,EXPENSE,Ahorro mensual,Ahorro mensual - 18/08/2026,200000.00,-5148200.00
18/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 18/08/2026,10000.00,-5148200.00
18/08/2026,INCOME,Fotocopias,Fotocopias - 18/08/2026,1200.00,-5147000.00
18/08/2026,INCOME,Impresiones,Impresiones - 18/08/2026,1000.00,-5146000.00
18/08/2026,INCOME,Escaneo,Scaner - 18/08/2026,3000.00,-5143000.00
18/08/2026,INCOME,Papelería,Papeleria - 18/08/2026,1000.00,-5142000.00
18/08/2026,INCOME,Internet,Internet - 18/08/2026,1500.00,-5140500.00
18/08/2026,EXPENSE,Ahorro para pagar,Ahorro pagar - 18/08/2026,300000.00,-5440500.00
18/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 18/08/2026,5500.00,-5440500.00
18/08/2026,INCOME,Fotocopias,Fotocopias - 18/08/2026,1400.00,-5439100.00
18/08/2026,INCOME,Impresiones,Impresiones - 18/08/2026,1400.00,-5437700.00
18/08/2026,INCOME,Papelería,Papeleria - 18/08/2026,2000.00,-5435700.00
18/08/2026,INCOME,Internet,Internet - 18/08/2026,1500.00,-5434200.00
18/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 18/08/2026,9000.00,-5434200.00
18/08/2026,INCOME,Fotocopias,Fotocopias - 18/08/2026,1500.00,-5432700.00
18/08/2026,INCOME,Impresiones,Impresiones - 18/08/2026,1600.00,-5431100.00
18/08/2026,INCOME,Papelería,Papeleria - 18/08/2026,3000.00,-5428100.00
18/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 18/08/2026,9000.00,-5428100.00
18/08/2026,INCOME,Fotocopias,Fotocopias - 18/08/2026,1000.00,-5427100.00
18/08/2026,INCOME,Impresiones,Impresiones - 18/08/2026,2000.00,-5425100.00
18/08/2026,INCOME,Papelería,Papeleria - 18/08/2026,3000.00,-5422100.00
18/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 18/08/2026,2000.00,-5422100.00
18/08/2026,INCOME,Fotocopias,Fotocopias - 18/08/2026,2400.00,-5419700.00
18/08/2026,INCOME,Impresiones,Impresiones - 18/08/2026,4000.00,-5415700.00
18/08/2026,INCOME,Papelería,Papeleria - 18/08/2026,5000.00,-5410700.00
18/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 18/08/2026,20000.00,-5410700.00
18/08/2026,INCOME,Fotocopias,Fotocopias - 18/08/2026,44000.00,-5366700.00
18/08/2026,INCOME,Impresiones,Impresiones - 18/08/2026,2800.00,-5363900.00
18/08/2026,INCOME,Papelería,Papeleria - 18/08/2026,1300.00,-5362600.00
18/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 18/08/2026,20000.00,-5362600.00
18/08/2026,INCOME,Fotocopias,Fotocopias - 18/08/2026,5500.00,-5357100.00
18/08/2026,INCOME,Impresiones,Impresiones - 18/08/2026,5000.00,-5352100.00
18/08/2026,INCOME,Papelería,Papeleria - 18/08/2026,3500.00,-5348600.00
18/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 18/08/2026,20000.00,-5348600.00
18/08/2026,INCOME,Impresiones,Impresiones - 18/08/2026,20000.00,-5328600.00
18/08/2026,INCOME,Papelería,Papeleria - 18/08/2026,1200.00,-5327400.00
18/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 18/08/2026,10000.00,-5327400.00
18/08/2026,INCOME,Impresiones,Impresiones - 18/08/2026,5000.00,-5322400.00
18/08/2026,INCOME,Papelería,Papeleria - 18/08/2026,3000.00,-5319400.00
18/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 18/08/2026,23000.00,-5319400.00
18/08/2026,INCOME,Impresiones,Impresiones - 18/08/2026,2400.00,-5317000.00
18/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 18/08/2026,30000.00,-5317000.00
18/08/2026,INCOME,Impresiones,Impresiones - 18/08/2026,4800.00,-5312200.00
18/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 18/08/2026,15000.00,-5312200.00
18/08/2026,INCOME,Impresiones,Impresiones - 18/08/2026,1000.00,-5311200.00
18/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 18/08/2026,35000.00,-5311200.00
18/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 18/08/2026,9000.00,-5311200.00
19/08/2026,EXPENSE,Ahorro mensual,Ahorro mensual - 19/08/2026,50000.00,-5361200.00
19/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 19/08/2026,20000.00,-5361200.00
19/08/2026,INCOME,Fotocopias,Fotocopias - 19/08/2026,1300.00,-5359900.00
19/08/2026,INCOME,Impresiones,Impresiones - 19/08/2026,1500.00,-5358400.00
19/08/2026,INCOME,Papelería,Papeleria - 19/08/2026,2400.00,-5356000.00
19/08/2026,INCOME,Internet,Internet - 19/08/2026,2500.00,-5353500.00
19/08/2026,EXPENSE,Ahorro para pagar,Ahorro pagar - 19/08/2026,100000.00,-5453500.00
19/08/2026,EXPENSE,Pendientes,Pendientes - 19/08/2026,20000.00,-5473500.00
19/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 19/08/2026,20000.00,-5473500.00
19/08/2026,INCOME,Fotocopias,Fotocopias - 19/08/2026,3200.00,-5470300.00
19/08/2026,INCOME,Impresiones,Impresiones - 19/08/2026,2600.00,-5467700.00
19/08/2026,INCOME,Papelería,Papeleria - 19/08/2026,13200.00,-5454500.00
19/08/2026,INCOME,Internet,Internet - 19/08/2026,1500.00,-5453000.00
19/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 19/08/2026,4000.00,-5453000.00
19/08/2026,INCOME,Fotocopias,Fotocopias - 19/08/2026,3000.00,-5450000.00
19/08/2026,INCOME,Impresiones,Impresiones - 19/08/2026,3000.00,-5447000.00
19/08/2026,INCOME,Papelería,Papeleria - 19/08/2026,1400.00,-5445600.00
19/08/2026,INCOME,Internet,Internet - 19/08/2026,1500.00,-5444100.00
19/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 19/08/2026,2000.00,-5444100.00
19/08/2026,INCOME,Fotocopias,Fotocopias - 19/08/2026,1600.00,-5442500.00
19/08/2026,INCOME,Impresiones,Impresiones - 19/08/2026,4200.00,-5438300.00
19/08/2026,INCOME,Papelería,Papeleria - 19/08/2026,1800.00,-5436500.00
19/08/2026,INCOME,Internet,Internet - 19/08/2026,1000.00,-5435500.00
19/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 19/08/2026,20000.00,-5435500.00
19/08/2026,INCOME,Fotocopias,Fotocopias - 19/08/2026,1100.00,-5434400.00
19/08/2026,INCOME,Impresiones,Impresiones - 19/08/2026,3200.00,-5431200.00
19/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 19/08/2026,5000.00,-5431200.00
19/08/2026,INCOME,Fotocopias,Fotocopias - 19/08/2026,3500.00,-5427700.00
19/08/2026,INCOME,Impresiones,Impresiones - 19/08/2026,3600.00,-5424100.00
19/08/2026,INCOME,Fotocopias,Fotocopias - 19/08/2026,1700.00,-5422400.00
19/08/2026,INCOME,Impresiones,Impresiones - 19/08/2026,2400.00,-5420000.00
19/08/2026,INCOME,Impresiones,Impresiones - 19/08/2026,4200.00,-5415800.00
19/08/2026,INCOME,Impresiones,Impresiones - 19/08/2026,3600.00,-5412200.00
19/08/2026,INCOME,Impresiones,Impresiones - 19/08/2026,3000.00,-5409200.00
19/08/2026,INCOME,Impresiones,Impresiones - 19/08/2026,1800.00,-5407400.00
19/08/2026,INCOME,Impresiones,Impresiones - 19/08/2026,1200.00,-5406200.00
20/08/2026,INCOME,Accesorios,accesorios REMOTE,76000.00,-5330200.00
20/08/2026,INCOME,Accesorios,accesorios REMOTE,76000.00,-5254200.00
20/08/2026,INCOME,Impresiones,accesorios REMOTE,190000.00,-5064200.00
20/08/2026,INCOME,Accesorios,aa,76000.00,-4988200.00
01/08/2026,INCOME,Ahorro mensual,Ahorro mensual - 01/08/2026,400000.00,-4588200.00
01/08/2026,INCOME,BeMovilRemote,BeMovilRemote - 01/08/2026,35000.00,-4588200.00
01/08/2026,INCOME,Fotocopias,Fotocopias - 01/08/2026,3900.00,-4584300.00
01/08/2026,INCOME,Impresiones,Impresiones - 01/08/2026,1800.00,-4582500.00
01/08/2026,INCOME,Papelería,Papeleria - 01/08/2026,3000.00,-4579500.00
